"","Producto","Cant","Unidad","Valor Unitario","Valor Total","IGV","Importe Total","TOTAL","Entrega Emision GRE"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","81","CAJA","80","6,480.00","1,166.40","7,646.40","S/14,454.95","1/2/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","49","CAJA","96","4,704.00","846.72","5,550.72","","1/2/2024"
"","JARABE DE BLUE CURACAO X 1 LITRO","108","BOTELLA","9.87","1,065.96","191.87","1,257.83","","1/2/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","15","BOTELLA","16","240","43.2","283.2","S/639.56","1/3/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","15","BOTELLA","12.4","186","33.48","219.48","","1/3/2024"
"","JARABE DE GOMA TASKY X 1 LITRO","10","BOTELLA","9.5","95","17.1","112.1","","1/3/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","10.5","21","3.78","24.78","","1/3/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","144","BOTELLA","9.87","1,421.28","255.83","1,677.11","S/8,349.87","1/3/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","288","BOTELLA","14.7","4,233.60","762.05","4,995.65","","1/3/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","144","BOTELLA","9.87","1,421.28","255.83","1,677.11","","1/3/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","50","CAJA","96","4,800.00","864","5,664.00","S/5,664.00","1/3/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","16","48","8.64","56.64","S/122.72","1/8/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","3","BOTELLA","14","42","7.56","49.56","","1/8/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","1","BOTELLA","14","14","2.52","16.52","","1/8/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","55","CAJA","80","4,400.00","792","5,192.00","S/8,590.40","1/8/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","30","CAJA","96","2,880.00","518.4","3,398.40","","1/8/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","4","CAJA","80","320","57.6","377.6","S/377.60","1/9/2024"
"","MERMELADA DE FRESA TASKY X 5 KG","30","BALDE","33","990","178.2","1,168.20","S/1,168.20","1/3/2024"
"","PULPA DE MARACUYA X 8 UNID X 1 KG","15","CAJA","100","1,500.00","270","1,770.00","S/1,770.00","1/11/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","72","BOTELLA","9.87","710.64","127.92","838.56","S/1,659.27","1/11/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","72","BOTELLA","9.66","695.52","125.19","820.71","","1/11/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 KG","2","CAJA","100","200","36","236","S/236.00","1/11/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","8","BOTELLA","16","128","23.04","151.04","S/599.68","1/11/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","8","BOTELLA","12.5","100","18","118","","1/11/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","8","BOTELLA","12.4","99.2","17.86","117.06","","1/11/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","10","BOTELLA","10.5","105","18.9","123.9","","1/11/2024"
"","JARABE DE GOMA TASKY X 1 LITRO","8","BOTELLA","9.5","76","13.68","89.68","","1/11/2024"
"","PULPA DE LIMON CONGELADA X 8 UNID X 1 KG","43","CAJA","80","3,440.00","619.2","4,059.20","S/4,059.20","1/15/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","15","CAJA","96","1,440.00","259.2","1,699.20","S/1,699.20","1/16/2024"
"","JARABE DE BLUE CURACAO X 1 LITRO","12","BOTELLA","12","144","25.92","169.92","S/169.92","1/19/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","5","CAJA","80","400","72","472","S/698.56","1/18/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","1/22/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","14","CAJA","80","1,120.00","201.6","1,321.60","S/2,001.28","1/18/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","6","CAJA","96","576","103.68","679.68","","1/18/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","3","CAJA","80","240","43.2","283.2","S/539.43","1/23/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","22","BOTELLA","9.87","217.14","39.09","256.23","","1/23/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","30","CAJA","80","2,400.00","432","2,832.00","S/4,531.20","1/23/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","15","CAJA","96","1,440.00","259.2","1,699.20","","1/23/2024"
"","PULPA DE MARACUYA X 8 UNID X 1 KG","2","CAJA","73.6","147.2","26.5","173.7","S/173.70","1/23/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","10","BOTELLA","16","160","28.8","188.8","S/574.07","1/25/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","12.5","62.5","11.25","73.75","","1/25/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","5","BOTELLA","12.4","62","11.16","73.16","","1/25/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","12","BOTELLA","10.5","126","22.68","148.68","","1/25/2024"
"","JARABE DE GOMA TASKY X 1 LITRO","8","BOTELLA","9.5","76","13.68","89.68","","1/25/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","S/339.84","1/28/2024"
"","PULPA DE MARACUYA X 8 UNID X 1 KG","2","CAJA","80","160","28.8","188.8","S/337.48","1/28/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","6","BOTELLA","11","66","11.88","77.88","","1/28/2024"
"","JARABE DE GOMA TASKY X 1 LITRO","6","BOTELLA","10","60","10.8","70.8","","1/28/2024"
"","PULPA DE LIMON CONGELADA X 8 UNID X 1 LITRO","119","CAJA","80","9,520.00","1,713.60","11,233.60","S/11,233.60","1/29/2024"
"","PULPA DE LIMON CONGELADA X 1 UNID X 5 KG","126","BOLSAS","50","6,300.00","1,134.00","7,434.00","S/7,646.40","1/30/2024"
"","PULPA DE LIMON CONGELADA X 8 UNID X 1 KG","2","CAJA","80","160","28.8","188.8","","1/30/2024"
"","PULPA DE LIMON CONGELADA X 2 UNID X 1 KG","1","CAJA","20","20","3.6","23.6","","1/30/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","120","BOTELLA","9.87","1,184.40","213.19","1,397.59","S/1,534.38","1/29/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","12","BOTELLA","9.66","115.92","20.87","136.79","","1/29/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","13","BOTELLA","9.87","128.31","23.1","151.41","S/605.62","1/31/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","13","BOTELLA","9.87","128.31","23.1","151.41","","1/31/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","13","BOTELLA","9.87","128.31","23.1","151.41","","1/31/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","13","BOTELLA","9.87","128.31","23.1","151.41","","1/31/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","14","84","15.12","99.12","S/254.88","1/30/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","6","BOTELLA","11","66","11.88","77.88","","1/30/2024"
"","JARABE DE GOMA TASKY X 1 LITRO","6","BOTELLA","11","66","11.88","77.88","","1/30/2024"
"","MERMELADA DE ROCOTO TASKY X 5 KG","21","BOLSA","67.5","1,417.50","255.15","1,672.65","S/1,672.65","2/5/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","45","CAJA","80","3,600.00","648","4,248.00","S/4,248.00","1/31/2024"
"","PULPA DE LIMON CONGELADA X 8 UNID X 1 KG","38","CAJA","80","3,040.00","547.2","3,587.20","S/3,587.20","2/2/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","14","42","7.56","49.56","S/138.06","1/31/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","3","BOTELLA","11","33","5.94","38.94","","1/31/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","14","42","7.56","49.56","","1/31/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","18","CAJA","88","1,584.00","285.12","1,869.12","S/1,869.12","2/5/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","5","CAJA","96","480","86.4","566.4","S/566.40","2/1/2024"
"","PULPA DE CARAMBOLA TASKY X 10 KG","2","BOLSA","70","140","25.2","165.2","S/165.20","2/1/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","2","BOTELLA","14","28","5.04","33.04","S/33.04","-"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","16","64","11.52","75.52","S/174.64","2/1/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","2","BOTELLA","14","28","5.04","33.04","","2/1/2024"
"","JARABE DE GOMA TASKY X 1 LITRO","3","BOTELLA","10","30","5.4","35.4","","2/1/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","1","BOTELLA","14","14","2.52","16.52","","2/1/2024"
"","ZUMO DE LIMON CONGELADO TASKY X 1 KG","1","BOLSA","12","12","2.16","14.16","","2/1/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","84","BOTELLA","9.87","829.08","149.23","978.31","S/2,209.38","2/6/2024"
