producto,cantidad,valor_unitario,fecha,dia_semana,estacion,cantidad_log
JARABE DE GUAYABA TASKY,6.0,9.66,2024-01-02,Martes,verano,1.9459101490553132
JARABE DE GRANADA TASKY,2.0,9.87,2024-01-02,Martes,verano,1.0986122886681098
JARABE DE FRAMBUESA TASKY,3.0,14.7,2024-01-02,Martes,verano,1.3862943611198906
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-01-02,Martes,verano,2.5649493574615367
JARABE DE GRANADINA TASKY,2.0,8.61,2024-01-02,Martes,verano,1.0986122886681098
JARABE DE MANZANA TASKY,6.0,9.87,2024-01-02,Martes,verano,1.9459101490553132
JARABE DE FRAMBUESA TASKY,6.0,14.7,2024-01-02,Martes,verano,1.9459101490553132
JARABE DE MANZANA TASKY,2.0,9.87,2024-01-02,Martes,verano,1.0986122886681098
JARABE DE GUAYABA TASKY,2.0,9.66,2024-01-02,Martes,verano,1.0986122886681098
JARABE DE GRANADA TASKY,1.0,9.87,2024-01-02,Martes,verano,0.6931471805599453
JARABE DE FRAMBUESA TASKY,2.0,14.7,2024-01-02,Martes,verano,1.0986122886681098
JARABE DE MANZANA TASKY,6.0,9.87,2024-01-02,Martes,verano,1.9459101490553132
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-01-02,Martes,verano,2.5649493574615367
JARABE DE FRAMBUESA TASKY,15.0,16.0,2024-01-03,Miércoles,verano,2.772588722239781
JARABE DE GRANADA TASKY,15.0,12.4,2024-01-03,Miércoles,verano,2.772588722239781
JARABE DE GOMA TASKY,10.0,9.5,2024-01-03,Miércoles,verano,2.3978952727983707
JARABE DE GRANADINA TASKY,2.0,10.5,2024-01-03,Miércoles,verano,1.0986122886681098
JARABE DE BLUE CURACAO TASKY,3.0,14.0,2024-01-08,Lunes,verano,1.3862943611198906
JARABE DE MANZANA TASKY,1.0,14.0,2024-01-08,Lunes,verano,0.6931471805599453
JARABE DE FRAMBUESA TASKY,3.0,16.0,2024-01-08,Lunes,verano,1.3862943611198906
ZUMO DE LIMON CONGELADO,32.0,10.0,2024-01-09,Martes,verano,3.4965075614664802
PULPA DE MARACUYA,120.0,12.5,2024-01-11,Jueves,verano,4.795790545596741
JARABE DE GOMA TASKY,8.0,9.5,2024-01-11,Jueves,verano,2.1972245773362196
JARABE DE MANZANA TASKY,8.0,12.5,2024-01-11,Jueves,verano,2.1972245773362196
JARABE DE FRAMBUESA TASKY,8.0,16.0,2024-01-11,Jueves,verano,2.1972245773362196
ZUMO DE LIMON CONGELADO,16.0,12.5,2024-01-11,Jueves,verano,2.833213344056216
JARABE DE GRANADA TASKY,8.0,12.4,2024-01-11,Jueves,verano,2.1972245773362196
JARABE DE GRANADINA TASKY,10.0,10.5,2024-01-11,Jueves,verano,2.3978952727983707
ZUMO DE LIMON CONGELADO,120.0,12.0,2024-01-16,Martes,verano,4.795790545596741
PULPA CONGELADA DE LIMA,48.0,12.0,2024-01-18,Jueves,verano,3.8918202981106265
ZUMO DE LIMON CONGELADO,112.0,10.0,2024-01-18,Jueves,verano,4.727387818712341
ZUMO DE LIMON CONGELADO,40.0,10.0,2024-01-18,Jueves,verano,3.713572066704308
PULPA CONGELADA DE LIMA,16.0,12.0,2024-01-22,Lunes,verano,2.833213344056216
PULPA DE MARACUYA,16.0,9.2,2024-01-23,Martes,verano,2.833213344056216
PULPA CONGELADA DE LIMA,120.0,12.0,2024-01-23,Martes,verano,4.795790545596741
ZUMO DE LIMON CONGELADO,24.0,10.0,2024-01-23,Martes,verano,3.2188758248682006
JARABE DE GRANADA TASKY,5.0,12.4,2024-01-25,Jueves,verano,1.791759469228055
JARABE DE MANZANA TASKY,5.0,12.5,2024-01-25,Jueves,verano,1.791759469228055
JARABE DE FRAMBUESA TASKY,10.0,16.0,2024-01-25,Jueves,verano,2.3978952727983707
JARABE DE GOMA TASKY,8.0,9.5,2024-01-25,Jueves,verano,2.1972245773362196
JARABE DE GRANADINA TASKY,12.0,10.5,2024-01-25,Jueves,verano,2.5649493574615367
JARABE DE GOMA TASKY,6.0,10.0,2024-01-28,Domingo,verano,1.9459101490553132
ZUMO DE LIMON CONGELADO,24.0,12.0,2024-01-28,Domingo,verano,3.2188758248682006
PULPA DE MARACUYA,16.0,10.0,2024-01-28,Domingo,verano,2.833213344056216
JARABE DE GRANADINA TASKY,6.0,11.0,2024-01-28,Domingo,verano,1.9459101490553132
ZUMO DE LIMON CONGELADO,8.0,12.0,2024-01-29,Lunes,verano,2.1972245773362196
PULPA DE MARACUYA,8.0,11.5,2024-01-29,Lunes,verano,2.1972245773362196
JARABE DE GUAYABA TASKY,12.0,9.66,2024-01-29,Lunes,verano,2.5649493574615367
PULPA DE MANGO,8.0,8.6,2024-01-29,Lunes,verano,2.1972245773362196
JARABE DE GOMA TASKY,6.0,11.0,2024-01-30,Martes,verano,1.9459101490553132
JARABE DE GRANADINA TASKY,6.0,11.0,2024-01-30,Martes,verano,1.9459101490553132
JARABE DE MANZANA TASKY,6.0,14.0,2024-01-30,Martes,verano,1.9459101490553132
JARABE DE GRANADA TASKY,3.0,14.0,2024-01-31,Miércoles,verano,1.3862943611198906
JARABE DE BLUE CURACAO TASKY,13.0,9.87,2024-01-31,Miércoles,verano,2.6390573296152584
JARABE DE GRANADINA TASKY,3.0,11.0,2024-01-31,Miércoles,verano,1.3862943611198906
JARABE DE MANZANA TASKY,3.0,14.0,2024-01-31,Miércoles,verano,1.3862943611198906
JARABE DE BLUE CURACAO TASKY,13.0,9.87,2024-01-31,Miércoles,verano,2.6390573296152584
JARABE DE BLUE CURACAO TASKY,13.0,9.87,2024-01-31,Miércoles,verano,2.6390573296152584
JARABE DE BLUE CURACAO TASKY,13.0,9.87,2024-01-31,Miércoles,verano,2.6390573296152584
ZUMO DE LIMON CONGELADO,40.0,12.0,2024-02-01,Jueves,verano,3.713572066704308
JARABE DE FRAMBUESA TASKY,4.0,16.0,2024-02-01,Jueves,verano,1.6094379124341003
JARABE DE BLUE CURACAO TASKY,2.0,14.0,2024-02-01,Jueves,verano,1.0986122886681098
JARABE DE GOMA TASKY,3.0,10.0,2024-02-01,Jueves,verano,1.3862943611198906
JARABE DE MANZANA TASKY,1.0,14.0,2024-02-01,Jueves,verano,0.6931471805599453
JARABE DE GUAYABA TASKY,4.0,12.5,2024-02-05,Lunes,verano,1.6094379124341003
JARABE DE GOMA TASKY,10.0,9.5,2024-02-05,Lunes,verano,2.3978952727983707
JARABE DE FRAMBUESA TASKY,12.0,16.0,2024-02-05,Lunes,verano,2.5649493574615367
JARABE DE MANZANA TASKY,5.0,12.5,2024-02-05,Lunes,verano,1.791759469228055
JARABE DE GRANADA TASKY,5.0,12.4,2024-02-05,Lunes,verano,1.791759469228055
JARABE DE GRANADINA TASKY,12.0,10.5,2024-02-05,Lunes,verano,2.5649493574615367
JARABE DE MANZANA TASKY,6.0,9.87,2024-02-06,Martes,verano,1.9459101490553132
JARABE DE MANZANA TASKY,12.0,9.87,2024-02-06,Martes,verano,2.5649493574615367
PULPA CONGELADA DE LIMA,32.0,12.0,2024-02-06,Martes,verano,3.4965075614664802
JARABE DE MANZANA TASKY,15.0,9.87,2024-02-06,Martes,verano,2.772588722239781
JARABE DE MANZANA TASKY,10.0,9.87,2024-02-06,Martes,verano,2.3978952727983707
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-02-06,Martes,verano,2.5649493574615367
PULPA CONGELADA DE LIMA,8.0,12.0,2024-02-06,Martes,verano,2.1972245773362196
JARABE DE MANZANA TASKY,6.0,9.87,2024-02-06,Martes,verano,1.9459101490553132
JARABE DE MANZANA TASKY,6.0,9.87,2024-02-06,Martes,verano,1.9459101490553132
JARABE DE MANZANA TASKY,12.0,9.87,2024-02-06,Martes,verano,2.5649493574615367
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-02-06,Martes,verano,2.5649493574615367
PULPA CONGELADA DE LIMA,24.0,12.0,2024-02-06,Martes,verano,3.2188758248682006
JARABE DE MANZANA TASKY,3.0,9.87,2024-02-06,Martes,verano,1.3862943611198906
PULPA CONGELADA DE LIMA,8.0,12.0,2024-02-06,Martes,verano,2.1972245773362196
JARABE DE MANZANA TASKY,6.0,9.87,2024-02-06,Martes,verano,1.9459101490553132
JARABE DE MANZANA TASKY,8.0,9.87,2024-02-06,Martes,verano,2.1972245773362196
PULPA CONGELADA DE LIMA,8.0,12.0,2024-02-06,Martes,verano,2.1972245773362196
PULPA CONGELADA DE LIMA,8.0,12.0,2024-02-06,Martes,verano,2.1972245773362196
PULPA CONGELADA DE LIMA,16.0,12.0,2024-02-06,Martes,verano,2.833213344056216
JARABE DE MANZANA TASKY,6.0,9.87,2024-02-06,Martes,verano,1.9459101490553132
ZUMO DE LIMON CONGELADO,48.0,11.5,2024-02-08,Jueves,verano,3.8918202981106265
JARABE DE GRANADINA TASKY,10.0,10.5,2024-02-09,Viernes,verano,2.3978952727983707
JARABE DE GUAYABA TASKY,6.0,12.5,2024-02-09,Viernes,verano,1.9459101490553132
JARABE DE GOMA TASKY,10.0,9.5,2024-02-09,Viernes,verano,2.3978952727983707
JARABE DE GRANADA TASKY,10.0,12.4,2024-02-09,Viernes,verano,2.3978952727983707
JARABE DE MANZANA TASKY,6.0,12.5,2024-02-09,Viernes,verano,1.9459101490553132
JARABE DE FRAMBUESA TASKY,12.0,16.0,2024-02-09,Viernes,verano,2.5649493574615367
PULPA CONGELADA DE LIMA,24.0,12.0,2024-02-12,Lunes,verano,3.2188758248682006
ZUMO DE LIMON CONGELADO,8.0,12.0,2024-02-12,Lunes,verano,2.1972245773362196
PULPA CONGELADA DE LIMA,16.0,12.0,2024-02-12,Lunes,verano,2.833213344056216
JARABE DE MANZANA TASKY,2.0,9.87,2024-02-14,Miércoles,verano,1.0986122886681098
JARABE DE BLUE CURACAO TASKY,5.0,9.87,2024-02-14,Miércoles,verano,1.791759469228055
JARABE DE FRAMBUESA TASKY,3.0,14.7,2024-02-14,Miércoles,verano,1.3862943611198906
PULPA DE MARACUYA,8.0,10.0,2024-02-15,Jueves,verano,2.1972245773362196
JARABE DE GRANADINA TASKY,6.0,11.0,2024-02-15,Jueves,verano,1.9459101490553132
ZUMO DE LIMON CONGELADO,48.0,11.5,2024-02-16,Viernes,verano,3.8918202981106265
JARABE DE GOMA TASKY,10.0,9.5,2024-02-19,Lunes,verano,2.3978952727983707
JARABE DE GRANADINA TASKY,14.0,10.5,2024-02-19,Lunes,verano,2.70805020110221
PULPA DE MARACUYA,16.0,10.0,2024-02-19,Lunes,verano,2.833213344056216
JARABE DE GUAYABA TASKY,6.0,14.0,2024-02-19,Lunes,verano,1.9459101490553132
JARABE DE MANZANA TASKY,6.0,14.0,2024-02-19,Lunes,verano,1.9459101490553132
JARABE DE FRAMBUESA TASKY,15.0,16.0,2024-02-19,Lunes,verano,2.772588722239781
JARABE DE MANZANA TASKY,5.0,12.5,2024-02-19,Lunes,verano,1.791759469228055
JARABE DE GRANADA TASKY,15.0,12.4,2024-02-19,Lunes,verano,2.772588722239781
PULPA CONGELADA DE LIMA,16.0,12.0,2024-02-19,Lunes,verano,2.833213344056216
PULPA CONGELADA DE LIMA,24.0,12.0,2024-02-19,Lunes,verano,3.2188758248682006
PULPA CONGELADA DE LIMA,16.0,12.0,2024-02-19,Lunes,verano,2.833213344056216
PULPA CONGELADA DE LIMA,8.0,12.0,2024-02-19,Lunes,verano,2.1972245773362196
PULPA CONGELADA DE LIMA,40.0,12.0,2024-02-20,Martes,verano,3.713572066704308
PULPA CONGELADA DE LIMA,8.0,12.0,2024-02-20,Martes,verano,2.1972245773362196
PULPA CONGELADA DE LIMA,24.0,12.0,2024-02-20,Martes,verano,3.2188758248682006
PULPA CONGELADA DE LIMA,8.0,12.0,2024-02-20,Martes,verano,2.1972245773362196
PULPA CONGELADA DE LIMA,24.0,12.0,2024-02-27,Martes,verano,3.2188758248682006
JARABE DE MANZANA TASKY,15.0,9.87,2024-02-27,Martes,verano,2.772588722239781
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-02-27,Martes,verano,2.5649493574615367
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-02-27,Martes,verano,2.5649493574615367
JARABE DE MANZANA TASKY,12.0,9.87,2024-02-27,Martes,verano,2.5649493574615367
PULPA CONGELADA DE LIMA,24.0,12.0,2024-02-27,Martes,verano,3.2188758248682006
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-02-27,Martes,verano,2.5649493574615367
JARABE DE MANZANA TASKY,12.0,9.87,2024-02-27,Martes,verano,2.5649493574615367
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-02-27,Martes,verano,2.5649493574615367
PULPA CONGELADA DE LIMA,16.0,12.0,2024-02-27,Martes,verano,2.833213344056216
JARABE DE MANZANA TASKY,4.0,9.87,2024-02-27,Martes,verano,1.6094379124341003
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-02-27,Martes,verano,2.5649493574615367
PULPA CONGELADA DE LIMA,24.0,12.0,2024-02-27,Martes,verano,3.2188758248682006
JARABE DE MANZANA TASKY,12.0,9.87,2024-02-27,Martes,verano,2.5649493574615367
PULPA CONGELADA DE LIMA,24.0,12.0,2024-02-27,Martes,verano,3.2188758248682006
JARABE DE MANZANA TASKY,5.0,9.87,2024-02-27,Martes,verano,1.791759469228055
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-02-27,Martes,verano,2.5649493574615367
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-02-27,Martes,verano,2.5649493574615367
JARABE DE MANZANA TASKY,2.0,9.87,2024-02-27,Martes,verano,1.0986122886681098
PULPA CONGELADA DE LIMA,16.0,12.0,2024-02-27,Martes,verano,2.833213344056216
PULPA CONGELADA DE LIMA,8.0,12.0,2024-02-27,Martes,verano,2.1972245773362196
JARABE DE FRAMBUESA TASKY,8.0,16.0,2024-03-04,Lunes,otoño,2.1972245773362196
JARABE DE GRANADINA TASKY,10.0,10.5,2024-03-04,Lunes,otoño,2.3978952727983707
JARABE DE GRANADA TASKY,10.0,12.4,2024-03-04,Lunes,otoño,2.3978952727983707
PULPA DE MARACUYA,32.0,9.5,2024-03-04,Lunes,otoño,3.4965075614664802
ZUMO DE LIMON CONGELADO,48.0,9.5,2024-03-04,Lunes,otoño,3.8918202981106265
JARABE DE MANZANA TASKY,3.0,14.0,2024-03-04,Lunes,otoño,1.3862943611198906
PULPA CONGELADA DE LIMA,32.0,12.0,2024-03-04,Lunes,otoño,3.4965075614664802
JARABE DE GOMA TASKY,8.0,9.5,2024-03-04,Lunes,otoño,2.1972245773362196
JARABE DE FRAMBUESA TASKY,6.0,14.7,2024-03-05,Martes,otoño,1.9459101490553132
JARABE DE FRAMBUESA TASKY,12.0,14.7,2024-03-05,Martes,otoño,2.5649493574615367
PULPA CONGELADA DE LIMA,16.0,12.0,2024-03-05,Martes,otoño,2.833213344056216
JARABE DE FRAMBUESA TASKY,8.0,14.7,2024-03-05,Martes,otoño,2.1972245773362196
PULPA CONGELADA DE LIMA,32.0,12.0,2024-03-05,Martes,otoño,3.4965075614664802
PULPA CONGELADA DE LIMA,16.0,12.0,2024-03-05,Martes,otoño,2.833213344056216
PULPA CONGELADA DE LIMA,24.0,12.0,2024-03-05,Martes,otoño,3.2188758248682006
JARABE DE FRAMBUESA TASKY,6.0,14.7,2024-03-05,Martes,otoño,1.9459101490553132
PULPA CONGELADA DE LIMA,24.0,12.0,2024-03-05,Martes,otoño,3.2188758248682006
PULPA CONGELADA DE LIMA,8.0,12.0,2024-03-05,Martes,otoño,2.1972245773362196
JARABE DE FRAMBUESA TASKY,6.0,14.7,2024-03-05,Martes,otoño,1.9459101490553132
JARABE DE FRAMBUESA TASKY,6.0,14.7,2024-03-05,Martes,otoño,1.9459101490553132
JARABE DE FRAMBUESA TASKY,6.0,14.7,2024-03-05,Martes,otoño,1.9459101490553132
JARABE DE BLUE CURACAO TASKY,12.0,9.87,2024-03-05,Martes,otoño,2.5649493574615367
