Variable,Coeficiente
dia_semana_Miércoles,5.888861799334593
dia_semana_Martes,5.426243866490083
cantidad_rolling_mean_3,1.452556261504024
valor_unitario,0.909684841188462
dia_semana_Lunes,0.7668544983090079
producto_JARABE DE GUAYABA TASKY,0.35294232914126217
producto_JARABE DE GRANADA TASKY,0.10532163476308429
estacion_otoño,0.08895878636761854
cantidad_rolling_std_3,0.03459967176202805
producto_JARABE DE MANZANA TASKY,0.012485192033986287
estacion_primavera,0.0017316600140652632
estacion_verano,-0.11351512291892972
cantidad_lag_1,-0.4914632759450359
dia_semana_Jueves,-1.4083765512792747
dia_semana_Sábado,-3.774961831484261
producto_JARABE DE FRAMBUESA TASKY,-4.229743546980582
dia_semana_Viernes,-6.1718913205963775
